YEAR,AREA,GEAR,MONTH,SEX,LENGTH,FREQ,QUARTER,SOURCE
1997,620,91,5,1,60,6,2,ELMEJJATI
1997,620,91,5,1,61,6,2,ELMEJJATI
1997,620,91,5,2,61,2,2,ELMEJJATI
1997,620,91,5,1,62,3,2,ELMEJJATI
1997,620,91,5,2,62,2,2,ELMEJJATI
1997,620,91,5,1,63,14,2,ELMEJJATI
1997,620,91,5,2,63,5,2,ELMEJJATI
1997,620,91,5,1,64,6,2,ELMEJJATI
1997,620,91,5,2,64,7,2,ELMEJJATI
1997,620,91,5,1,65,14,2,ELMEJJATI
1997,620,91,5,2,65,6,2,ELMEJJATI
1997,620,91,5,1,66,4,2,ELMEJJATI
1997,620,91,5,2,66,6,2,ELMEJJATI
1997,620,91,5,1,67,8,2,ELMEJJATI
1997,620,91,5,2,67,5,2,ELMEJJATI
1997,620,91,5,1,68,3,2,ELMEJJATI
1997,620,91,5,2,68,12,2,ELMEJJATI
1997,620,91,5,1,69,8,2,ELMEJJATI
1997,620,91,5,2,69,7,2,ELMEJJATI
1997,620,91,5,1,70,1,2,ELMEJJATI
1997,620,91,5,2,70,8,2,ELMEJJATI
1997,620,91,5,1,71,7,2,ELMEJJATI
1997,620,91,5,2,71,13,2,ELMEJJATI
1997,620,91,5,1,72,4,2,ELMEJJATI
1997,620,91,5,2,72,4,2,ELMEJJATI
1997,620,91,5,1,73,2,2,ELMEJJATI
1997,620,91,5,2,73,1,2,ELMEJJATI
1997,620,91,5,1,74,4,2,ELMEJJATI
1997,620,91,5,2,74,4,2,ELMEJJATI
1997,620,91,5,1,75,3,2,ELMEJJATI
1997,620,91,5,2,75,3,2,ELMEJJATI
1997,620,91,5,1,76,2,2,ELMEJJATI
1997,620,91,5,2,76,6,2,ELMEJJATI
1997,620,91,5,1,77,1,2,ELMEJJATI
1997,620,91,5,2,77,6,2,ELMEJJATI
1997,620,91,5,1,78,1,2,ELMEJJATI
1997,620,91,5,2,78,5,2,ELMEJJATI
1997,620,91,5,2,79,2,2,ELMEJJATI
1997,620,91,5,1,80,1,2,ELMEJJATI
1997,620,91,5,2,80,3,2,ELMEJJATI
1997,620,91,5,2,81,1,2,ELMEJJATI
1997,620,91,5,2,82,2,2,ELMEJJATI
1997,620,91,5,1,83,1,2,ELMEJJATI
1997,620,91,5,2,83,4,2,ELMEJJATI
1997,620,91,5,1,84,1,2,ELMEJJATI
1997,620,91,5,2,84,2,2,ELMEJJATI
1997,620,91,5,1,85,1,2,ELMEJJATI
1997,620,91,5,2,85,1,2,ELMEJJATI
1997,620,91,5,2,87,2,2,ELMEJJATI
1997,620,91,5,2,90,1,2,ELMEJJATI
1997,620,91,5,2,91,1,2,ELMEJJATI
1997,620,91,5,2,92,2,2,ELMEJJATI
1997,620,91,5,2,95,1,2,ELMEJJATI
1997,620,91,5,2,96,1,2,ELMEJJATI
1997,620,91,5,2,98,1,2,ELMEJJATI
1997,620,91,5,2,100,1,2,ELMEJJATI
1997,620,91,5,2,104,1,2,ELMEJJATI
1997,620,26,6,1,59,1,2,ELMEJJATI
1997,620,26,6,2,61,1,2,ELMEJJATI
1997,620,26,6,1,62,1,2,ELMEJJATI
1997,620,26,6,1,68,3,2,ELMEJJATI
1997,620,26,6,2,68,1,2,ELMEJJATI
1997,620,26,6,2,69,2,2,ELMEJJATI
1997,620,26,6,1,70,1,2,ELMEJJATI
1997,620,26,6,2,70,3,2,ELMEJJATI
1997,620,26,6,1,71,1,2,ELMEJJATI
1997,620,26,6,2,72,1,2,ELMEJJATI
1997,620,26,6,1,73,1,2,ELMEJJATI
1997,620,26,6,1,74,1,2,ELMEJJATI
1997,620,26,6,1,75,2,2,ELMEJJATI
1997,620,26,6,2,75,5,2,ELMEJJATI
1997,620,26,6,1,76,1,2,ELMEJJATI
1997,620,26,6,2,76,1,2,ELMEJJATI
1997,620,26,6,2,77,1,2,ELMEJJATI
1997,620,26,6,1,78,1,2,ELMEJJATI
1997,620,26,6,2,78,3,2,ELMEJJATI
1997,620,26,6,1,79,3,2,ELMEJJATI
1997,620,26,6,2,79,2,2,ELMEJJATI
1997,620,26,6,2,80,1,2,ELMEJJATI
1997,620,26,6,2,82,2,2,ELMEJJATI
1997,620,26,6,1,89,1,2,ELMEJJATI
1997,620,26,7,1,67,1,3,ELMEJJATI
1997,620,26,7,2,69,1,3,ELMEJJATI
1997,620,26,7,1,70,1,3,ELMEJJATI
1997,620,26,7,1,71,2,3,ELMEJJATI
1997,620,26,7,1,72,1,3,ELMEJJATI
1997,620,26,7,2,72,1,3,ELMEJJATI
1997,620,26,7,1,73,2,3,ELMEJJATI
1997,620,26,7,1,74,1,3,ELMEJJATI
1997,620,26,7,2,74,2,3,ELMEJJATI
1997,620,26,7,2,77,1,3,ELMEJJATI
